aid,type,gender
Janice Pendarvis,guest,female
Lauryn Hill,guest,female
Jennifer Love Hewitt,guest,female
Muse Watson,guest,unknown
Adam Horovitz,unknown,male
Beastie Boys,guest,unknown
Joan Allen,guest,female
Jewel,guest,female
Eagle-Eye Cherry,guest,unknown
Chili Davis,guest,unknown
Graeme Lloyd,guest,male
Tino Martinez,guest,male
Alanis Morissette,guest,female
Lucy Lawless,guest,female
Judge Judy Sheindlin,guest,female
Chucky,guest,unknown
Elliott Smith,guest,male
Kelsey Grammer,guest,male
Shaquille O'Neal,guest,male
Christine Baranski,guest,female
Hal Linden,guest,male
Patti LuPone,guest,female
Wendy Melvoin,guest,female
The Smashing Pumpkins,guest,female
Jonathan Richman,guest,male
Tommy Larkins,guest,male
David Duchovny,guest,male
Nicholas Lea,guest,male
Puff Daddy,guest,unknown
Jimmy Page,guest,male
Jim Breuer,cast,male
Matthew Broderick,guest,male
Regis Philbin,guest,male
Bob Van Ry,crew,male
Natalie Merchant,guest,female
Greg Kinnear,guest,male
All Saints,guest,unknown
Bob Hoskins,guest,male
Lewis Lapham,guest,male
John Hurt,guest,male
Didi Conn,guest,female
Gilbert Gottfried,unknown,male
Molly Ringwald,unknown,female
Third Eye Blind,guest,unknown
Natasha Henstridge,guest,female
Julianne Moore,guest,female
Tom Gianas,crew,male
Scott Wolf,guest,male
Natalie Imbruglia,guest,female
Robert Duvall,guest,male
Roma Downey,guest,female
"Missy ""Misdemeanor"" Elliott",guest,female
Magoo,guest,unknown
Cindy Caponera,crew,female
Lou Marini,crew,male
Alan P. Rubin,crew,male
Paula Cole,guest,female
Portishead,guest,unknown
Frank Sebastiano,crew,male
Ben Folds Five,guest,male
Helen Hunt,guest,female
Cliff Floyd,guest,male
David Howard,guest,male
Gerald Williams,guest,male
Gregg Jefferies,guest,male
Jeff Fassero,guest,male
Mark Grudzielanek,guest,male
Mark Wohlers,guest,male
Marty Cordova,guest,male
Mike Sweeney,guest,male
Pedro Borbon Jr.,guest,male
Rondell White,guest,unknown
Russ Davis,guest,male
Scott Rolen,guest,male
Todd Hundley,guest,male
Todd Zeile,guest,male
Hanson,guest,unknown
Nathan Lane,guest,male
Ernie Sabella,guest,male
The Dallas Cowboys Cheerleaders,guest,female
Metallica,guest,unknown
Marianne Faithfull,guest,female
Sarah McLachlan,guest,female
Michael McKean,cast,male
Claire Danes,guest,female
Jane's Addiction,guest,unknown
Flea,guest,unknown
Chris Farley,cast,male
The Mighty Mighty Bosstones,guest,female
Bill Kurtis,guest,male
Mike Ditka,guest,male
Eric Dickerson,guest,male
Matthew Perry,guest,male
Ian Roberts,crew,male
Oasis,guest,unknown
Richard Jewell,guest,male
Jamiroquai,guest,unknown
Jeff Goldblum,guest,male
En Vogue,guest,unknown
Pamela Lee,guest,female
Tommy Lee,guest,male
Rollins Band,guest,unknown
Joe Pesci,guest,male
Spice Girls,guest,unknown
Mark Hamill,guest,male
Veruca Salt,guest,unknown
Trudie Styler,guest,female
Norm Hiscock,crew,male
Tina Turner,guest,female
Howard Stern,guest,male
Live,guest,unknown
Neve Campbell,guest,female
David Alan Grier,guest,male
Snoop Doggy Dogg,guest,unknown
Charlie Wilson,guest,male
Daz Dillinger,guest,unknown
John Cleese,guest,male
Michael Palin,guest,male
Rosie O'Donnell,guest,female
Whitney Houston,guest,female
Penny Marshall,guest,female
Georgia Mass Choir,guest,female
Cliff Robertson,guest,male
Rodney Dangerfield,guest,male
Bush,guest,unknown
Bob Dole,guest,male
Elizabeth Dole,guest,female
Robert Downey Jr.,cast,male
Evander Holyfield,guest,male
Abe Vigoda,guest,male
Bill Pullman,guest,male
New Edition,guest,unknown
Fred Wolf,cast,male
David Lander,guest,male
Lisa Kudrow,guest,female
Kerri Strug,guest,female
Soundgarden,guest,unknown
The Cure,guest,female
Jim Gaffigan,guest,male
Teri Hatcher,guest,female
Sam Waterston,guest,male
Erin Maroney,crew,female
Steve Forbes,guest,male
Rage Against The Machine,guest,unknown
Catherine Forbes,guest,female
Elizabeth Forbes,guest,female
Moira Forbes,guest,female
Roberta Forbes,guest,female
Sabina Beekman,guest,female
Sabina Forbes,guest,female
Gin Blossoms,guest,unknown
Elle MacPherson,guest,female
Everclear,guest,unknown
Tom Arnold,guest,male
Tupac Shakur,guest,unknown
Danny Boy,guest,male
Roger Troutman,guest,male
Danny Aiello,guest,male
Coolio,guest,unknown
Larry Brown,guest,male
L.V.,guest,unknown
Tori Amos,guest,female
George Pataki,guest,male
Joan Osborne,guest,female
Madeline Kahn,guest,female
Silverchair,guest,unknown
Anthony Edwards,guest,male
Laura Leighton,guest,female
Grant Show,guest,male
Rancid,guest,unknown
Quentin Tarantino,guest,male
Robert Hegyes,guest,male
Bill Bradley,guest,male
Lamar Alexander,guest,male
Gabriel Byrne,guest,male
Chipper Jones,guest,unknown
Chrissie Hynde,guest,female
Tom Glavine,guest,male
David Schwimmer,guest,male
Barry Williams,guest,male
Gary Coleman,guest,male
Jimmie Walker,guest,male
Jennifer Turner,guest,female
Katell Keineg,guest,female
Mariel Hemingway,guest,female
Beth McCarthy Miller,crew,female
Lisa Loeb,guest,female
Don Novello,cast,male
Blues Traveler,guest,unknown
Morwenna Banks,cast,female
Ellen Cleghorne,cast,female
Chris Elliott,cast,male
Michael Angarano,guest,male
Naomi Campbell,guest,female
Jay Mohr,cast,male
Rod Stewart,guest,male
Laura Kightlinger,cast,female
Bob Saget,guest,male
TLC,guest,unknown
Courteney Cox,guest,female
Damon Wayans,cast,male
Janeane Garofalo,cast,female
Dionne Farris,guest,female
Brian Dennehy,guest,male
The Tragically Hip,guest,female
Paul Reiser,guest,male
Billy Grundfest,guest,male
Steve Koren,crew,male
Dave Wilson,crew,male
Annie Lennox,guest,female
George Clooney,guest,male
Ian Maxtone-Graham,crew,male
The Cranberries,guest,female
Akeyla Cleghorne,crew,unknown
Bruce McCulloch,crew,male
Deion Sanders,guest,male
Manute Bol,guest,unknown
Bob Newhart,guest,male
Des'ree,guest,unknown
Marilyn Suzanne Miller,crew,female
Suzanne Pleshette,guest,female
David Hyde Pierce,guest,male
Luscious Jackson,guest,unknown
George Foreman,guest,male
Michael Buffer,guest,male
Hole,guest,unknown
Christian Slater,guest,male
Roseanne,guest,female
John Turturro,guest,male
Joey Buttafuoco,guest,male
David Hasselhoff,guest,male
Sarah Jessica Parker,guest,female
President George Bush,guest,unknown
Edie Brickell,guest,female
John Travolta,guest,male
Seal,guest,unknown
Marisa Tomei,guest,female
Bonnie Raitt,guest,female
Lew Morton,crew,male
Eric Clapton,guest,male
Bobby Bonilla,guest,male
Jack McDowell,guest,male
Lenny Dykstra,guest,male
Mo Vaughn,guest,male
Roger Clemens,guest,male
Heather Locklear,guest,female
Jay Leno,guest,male
Melanie Hutsell,cast,female
Julia Sweeney,cast,female
Rafael Fuchs,guest,male
The Pretenders,guest,female
Emilio Estevez,guest,male
Sy Sperling,guest,male
Dave Attell,crew,male
Steve Lookner,crew,male
David Mandel,crew,male
Dwight Yoakham,guest,male
Cindy Crawford,guest,female
Nancy Kerrigan,guest,female
Aretha Franklin,guest,female
Martin Lawrence,guest,male
Crash Test Dummies,guest,unknown
Kim Basinger,guest,female
UB40,guest,unknown
Billy Baldwin,guest,male
Stephen Baldwin,guest,male
Patrick Stewart,guest,male
Salt-N-Pepa,guest,unknown
Bernie Kopell,guest,female
Sara Gilbert,guest,female
Counting Crows,guest,unknown
Jason Patric,guest,male
Blind Melon,guest,unknown
Richard Simmons,guest,male
Sally Field,guest,female
Tony! Toni! Tone!,guest,unknown
Lili Haydn,guest,female
Charlton Heston,guest,unknown
Paul Westerberg,guest,male
Nicole Kidman,guest,female
Stone Temple Pilots,guest,male
Tom Schiller,cast,male
Jimmy Workman,guest,male
Casey Kasem,guest,unknown
Billy Joel,guest,male
Steven Tyler,unknown,male
Joe Perry,unknown,male
Laura Dern,guest,female
Shannen Doherty,guest,female
Ashley Hamilton,guest,female
Cypress Hill,guest,unknown
Muggsy Bogues,guest,unknown
Nirvana,guest,female
Skid Row,guest,unknown
RuPaul,guest,female
Kevin Kline,guest,male
Bonnie Turner,crew,female
Terry Turner,crew,female
Joel Godard,unknown,male
Willie Nelson,guest,male
Midnight Oil,guest,unknown
Warren Hutcherson,crew,male
Kirstie Alley,guest,female
Peter Gabriel,guest,male
Miranda Richardson,guest,female
Stephen Rea,guest,male
Soul Asylum,guest,unknown
Marv Albert,guest,male
The Bravados,guest,female
Cora Blige,guest,female
Linda McCartney,guest,female
Giorgio Armani,guest,male
Luke Perry,guest,male
Jeff Renaudo,crew,male
Joe Mantegna,guest,male
Grafton True,crew,unknown
Glenn Close,guest,female
The Black Crowes,guest,female
Mary Beth Hurt,guest,female
Roseanne Arnold,guest,female
Dick Butkus,guest,male
Sinbad,guest,unknown
Sade,guest,female
Morrissey,guest,unknown
Catherine O'Hara,guest,female
Arrested Development,guest,unknown
Spin Doctors,guest,unknown
Tim Robbins,guest,male
Sinead O'Connor,guest,unknown
Bobby Brown,guest,male
Siobhan Fallon,cast,female
Beth Cahill,cast,female
Sharon Stone,guest,female
Ken Stabler,guest,male
Mary Stuart Masterson,guest,female
Barbra Streisand,guest,female
Jason Priestley,guest,male
Teenage Fanclub,guest,unknown
Susan Dey,guest,female
C+C Music Factory,guest,unknown
Bruce Hornsby,guest,male
Ivan Neville,guest,male
Monk Boudreaux,guest,unknown
Rob Morrow,guest,male
Lew Del Gatto,crew,male
Susan Lucci,guest,female
Hammer,guest,unknown
Macaulay Culkin,guest,male
Kieran Culkin,guest,male
Tin Machine,guest,male
Linda Hamilton,guest,female
Edward Furlong,guest,male
Rachel Bolan,unknown,female
Sebastian Bach,unknown,male
John McLaughlin,guest,male
Arnold Schwarzenegger,guest,male
Ted Danson,guest,male
Color Me Badd,guest,unknown
Michael Jordan,guest,male
Public Enemy,guest,unknown
Jesse Jackson,guest,male
Spike Lee,guest,male
Spike Feresten,crew,male
Elvis Costello,guest,male
Andrew Robin,crew,male
Delta Burke,guest,unknown
Chris Isaak,guest,male
Silvertone,guest,unknown
Steven Seagal,guest,male
Randy Quaid,cast,male
Kate Pierson,guest,female
Jeremy Irons,guest,male
Fishbone,guest,unknown
Razor Ruddock,guest,unknown
Michael J. Fox,guest,male
Arthur Kent,guest,male
Roseanne Barr,guest,female
Deee-Lite,guest,unknown
Bootsy Collins & The Rubber Band,guest,unknown
Kevin Bacon,guest,male
INXS,guest,unknown
Vanilla Ice,guest,unknown
Dennis Quaid,guest,male
The Neville Brothers,guest,female
Elliott Gould,guest,male
Tony Randall,guest,male
Edie Brickell & New Bohemians,guest,female
Faith No More,guest,female
Dennis Hopper,guest,male
Bert Parks,guest,male
Olodum,guest,unknown
Jimmy Smits,guest,male
Bob Costas,guest,male
World Party,guest,unknown
Patrick Swayze,guest,male
Lisa Niemi,guest,female
George Steinbrenner,guest,male
The Time,guest,female
Hothouse Flowers,guest,unknown
Gene Rayburn,guest,male
Kyle MacLachlan,guest,male
Audrey Peart Dickman,crew,female
The Notting Hillbillies,guest,female
Andrew Dice Clay,guest,male
The Spanic Boys,guest,female
Julee Cruise,guest,unknown
The B-52's,guest,female
Gregory Daniels,crew,male
Corbin Bernsen,guest,male
The Smithereens,guest,female
Debra Winger,guest,female
The Pogues,guest,female
Fred Savage,guest,male
Joanne Savage,guest,female
Technotronic,guest,unknown
Kala Savage,guest,female
Rosie Perez,guest,female
Quincy Jones,guest,male
Tevin Campbell,guest,male
Andrae Crouch,guest,unknown
Sandra Crouch,guest,female
Kool Moe Dee,guest,unknown
Big Daddy Kane,guest,unknown
Melle Mel,guest,male
Quincy D III,guest,male
Siedah Garrett,guest,unknown
Al Jarreau,guest,male
Take 6,guest,male
Ed O'Neill,guest,male
Maury Povich,guest,male
Harry Connick Jr.,guest,male
Andie MacDowell,guest,female
Tracy Chapman,guest,female
Robert Wagner,guest,male
Aaron Neville,guest,male
K.D. Lang & The Reclines,guest,unknown
David Byrne,guest,male
Chris Evert,guest,male
Eurythmics,guest,unknown
James Woods,guest,male
Kathleen Turner,guest,female
Rick Moranis,guest,male
Rickie Lee Jones,guest,male
Timothy Busfield,guest,male
Paulina Porizkova,guest,female
Wayne Gretzky,guest,male
Janet Jones,guest,female
Fine Young Cannibals,guest,female
Geena Davis,guest,female
John Mellencamp,guest,male
Dolly Parton,guest,female
Mel Gibson,guest,female
Living Colour,guest,unknown
Danny Glover,guest,male
Mary Tyler Moore,guest,female
John Bowman,crew,male
William Hurt,guest,male
The Gipsy Kings,guest,female
Leslie Nielsen,guest,male
Beverly Johnson,guest,female
Cheryl Tiegs,guest,female
Kim Alexis,guest,female
Cowboy Junkies,guest,unknown
Luther Vandross,guest,male
Tony Danza,guest,male
John Hiatt,guest,male
The Goners,guest,female
Anita Baker,guest,female
Little Feat,guest,unknown
Bobby McFerrin,guest,male
The Bangles,guest,female
John Lithgow,guest,male
Johnny Clegg & Savuka,guest,male
Matthew Modine,guest,male
Morton Downey Jr.,guest,male
John Larroquette,guest,male
Randy Newman,guest,male
Mark Knopfler,guest,male
The Sugarcubes,guest,female
Douglas McGrath,guest,male
Fred Newman,guest,male
Laurie Metcalf,cast,female
Keith Richards,guest,male
Roy Orbison,guest,male
Garry Shandling,guest,male
Los Lobos,guest,unknown
Nell Campbell,guest,female
Tracey Ullman,guest,female
Mark Harmon,guest,male
Suzanne Vega,guest,female
Timbuk 3,guest,unknown
Al Camoin,crew,male
Wynton Marsalis,guest,unknown
Bob Hurst,guest,male
Don Braden,guest,male
Jeff Watts,guest,male
Marcus Roberts,guest,male
Anne Meara,guest,female
Jerry Stiller,guest,male
John Mahoney,guest,male
Julie Hagerty,guest,female
Nina Tremblay,guest,female
Brian McConnachie,crew,male
Percy Sledge,guest,male
Valerie Bertinelli,guest,female
Edwin Newman,guest,male
Eddie Van Halen,guest,male
The Robert Cray Band,guest,female
Bronson Pinchot,guest,male
Paul Young,guest,male
Bruce Hornsby & The Range,guest,male
Walter Payton,guest,male
Joe Montana,guest,male
Debbie Harry,guest,female
Chris Stein,guest,male
Kevin Meaney,guest,male
Lone Justice,guest,female
Griffin Dunne,guest,male
Steve Guttenberg,guest,male
Penn & Teller,guest,unknown
Eriq La Salle,guest,unknown
Fisher Stevens,guest,unknown
Eric Idle,guest,male
Art Garfunkel,guest,male
Ladysmith Black Mambazo,guest,unknown
Sam Kinison,guest,male
Seka,guest,female
Andy Breckman,crew,male
Ron Darling,guest,male
Rosanna Arquette,guest,female
Bill Wegman,guest,male
Malcolm-Jamal Warner,guest,unknown
Rosie Schuster,crew,female
Run DMC,guest,unknown
Christopher Durang,guest,male
Mauricio Smith,crew,male
Billy Martin,guest,male
Joan Cusack,cast,female
Terry Sweeney,cast,male
Danitra Vance,cast,female
Anjelica Huston,guest,female
Anthony Michael Hall,cast,male
George Clinton & The Parliament Funkadelic,guest,male
Thomas Dolby,guest,male
Carol Leifer,crew,female
Marvelous Marvin Hagler,guest,unknown
Jimmy Breslin,guest,male
Level 42,guest,unknown
Bob Christianson,crew,male
E.G. Daily,guest,unknown
Catherine Oxenberg,guest,female
Princess Elizabeth of Yugoslavia,guest,female
Laurie Anderson,guest,female
Oprah Winfrey,guest,female
Joe Jackson,guest,male
John Swartzwelder,crew,male
Francis Ford Coppola,guest,male
Philip Glass,guest,male
Rosanne Cash,guest,female
Mike The Dog,guest,male
Jerry Hall,guest,male
Stevie Ray Vaughan,guest,male
Double Trouble,guest,unknown
Jimmie Vaughan,guest,male
Ron Reagan,guest,male
Dan Vitale,cast,male
The Nelsons,guest,female
Dudley Moore,guest,male
Al Green,guest,male
Harry Dean Stanton,guest,male
The Replacements,guest,female
Teri Garr,guest,female
Dream Academy,guest,unknown
The Cult,guest,female
Steven Wright,guest,male
Mr. Mister,guest,male
Queen Ida,guest,female
Sheila E.,guest,female
Brandon Tartikoff,guest,male
Simple Minds,guest,unknown
Christopher Guest,cast,male
Howard Cosell,guest,male
Gary Kroeger,cast,male
Mary Gross,cast,female
Pamela Stephenson,cast,female
Rich Hall,cast,male
Kevin Kelton,crew,male
Frederick Koehler,crew,male
Greg Kihn,guest,male
Rob Riley,crew,male
Christopher Reeve,guest,male
Calvert DeForest,guest,unknown
Santana,guest,female
Anne Beatts,crew,female
Mr. T,guest,male
Hulk Hogan,guest,male
Steve Landesberg,guest,male
Liberace,guest,male
The Commodores,guest,female
Bob Orton,guest,male
Rowdy Roddy Piper,guest,male
Pamela Sue Martin,guest,female
Ann-Margret,guest,female
Lynn Swann,guest,female
Morgan Fairchild,guest,female
Dick Ebersol,crew,male
Andrew Smith,crew,male
Power Station,guest,unknown
Harry Anderson,guest,male
Waylon Jennings,guest,male
Johnny Cash,guest,male
June Carter Cash,guest,female
Bryan Adams,guest,male
Carol Burnett,guest,female
Alex Karras,guest,male
Roy Scheider,guest,male
Billy Ocean,guest,male
Harry Shearer,cast,male
John Waite,guest,male
Eddie Murphy,cast,male
Clint Smith,crew,male
Robert Plant & The Honeydrippers,guest,male
Ronnie Cuber,crew,male
Tom Malone,crew,male
Georg Wadenius,crew,male
Buddy Williams,crew,male
Alan Zweibel,cast,male
Willie Day,crew,male
Ringo Starr,guest,male
James Pickens Jr.,guest,male
Herbie Hancock,guest,unknown
Barbara Bach,guest,female
Ed Begley Jr.,guest,male
Billy Squier,guest,male
Lee Mayman,crew,male
Ed Asner,guest,male
The Kinks,guest,female
George Carlin,guest,male
Nate Herman,crew,female
Frankie Goes To Hollywood,guest,unknown
Bobby Fraraccio,crew,male
Chaka Khan,guest,female
Yvonne Hudson,cast,female
Heino Ripp,crew,male
Wintley Phipps,guest,unknown
Bob Uecker,guest,male
Dave Winfield,guest,male
Yogi Berra,guest,male
Peter Wolf,guest,male
Elliot Easton,guest,male
"Gordon ""Megabucks"" Worthy",guest,male
Leon Mobley,guest,male
Maurice Starr,guest,male
"Michael ""Spaceman"" Jonzun",guest,male
Thommy Price,guest,male
Reginald VelJohnson,guest,male
Rob Reiner,guest,male
The Thompson Twins,guest,female
Jamie Lee Curtis,guest,female
Joe Piscopo,cast,male
Ed Koch,guest,male
Father Guido Sarducci,guest,unknown
Betty Thomas,guest,female
Brad Hall,cast,male
Tim Kazurinsky,cast,male
Robin Duke,cast,female
Timothy Hutton,guest,male
Joel Hodgson,guest,male
Barry Bostwick,guest,male
Spinal Tap,guest,unknown
Soupy Sales,guest,unknown
George McGovern,guest,male
Clara Peller,guest,female
Frankie Pace,guest,unknown
Madness,guest,unknown
Eleanor McGovern,guest,female
Michael Douglas,guest,male
Deniece Williams,guest,female
Al Siegal,crew,male
Kool & The Gang,guest,unknown
The Fixx,guest,female
Adam Ant,guest,male
Paula Poundstone,guest,female
Don Rickles,guest,male
John Madden,guest,male
Stevie Wonder,guest,male
Dr. Joyce Brothers,guest,unknown
Billy Idol,guest,male
Mary Palin,guest,female
The Motels,guest,female
Huey Lewis & The News,guest,male
Flip Wilson,guest,male
Stevie Nicks,guest,female
Tom Smothers,guest,male
Dick Smothers,guest,male
Ron Luciano,guest,male
Tom Seaver,guest,male
Big Country,guest,unknown
Larry Holmes,guest,male
Jerry Lewis,guest,male
Loverboy,guest,unknown
Mick Fleetwood's Zoo,guest,male
Stray Cats,guest,unknown
14 Karat Soul,guest,unknown
John Candy,guest,male
Men At Work,guest,male
Eddy Grant,guest,male
Dick Cavett,guest,male
John Cougar,guest,male
Gene Siskel,guest,male
Roger Ebert,guest,male
Kevin Rowland & Dexy's Midnight Runners,guest,male
Don King,guest,male
Leslie Pollack,guest,female
Michael Davis,guest,male
Greg Dean,guest,male
Susan Saint James,guest,female
Michael McDonald,guest,male
Edgar Winter,guest,male
Joan Rivers,guest,female
David Susskind,guest,male
Musical Youth,guest,unknown
Robert Guillaume,guest,male
Duran Duran,guest,male
Bruce Dern,guest,male
Leon Redbone,guest,male
Beau Bridges,guest,male
Lloyd Bridges,guest,male
Laurie Zaks,crew,female
Howard Hesseman,guest,male
Milan Melvin,guest,male
Sid Caesar,guest,male
Joe Cocker,guest,male
Jennifer Warnes,guest,female
Dave Thomas,guest,male
The Bus Boys,guest,female
Lily Tomlin,guest,female
Andy Kaufman,guest,male
Barry Mitchell,guest,male
Lionel Richie,guest,male
Lawrence K. Grossman,guest,male
Laura Branigan,guest,female
Squeeze,guest,unknown
Robert Blake,guest,male
Merv Griffin,guest,male
Kenny Loggins,guest,male
The New Joe Jackson Band,guest,female
Bill Irwin,guest,male
Ron Howard,guest,male
Andy Griffith,guest,male
Rex Reed,guest,male
The Clash,guest,female
Louis Gossett Jr.,guest,male
George Thorogood & The Destroyers,guest,male
Eliot Wald,crew,male
John Zacherle,guest,male
Queen,guest,female
Olivia Newton-John,guest,female
Christine Ebersole,cast,female
Tony Rosato,cast,male
Graham Chapman,guest,male
Brian Doyle-Murray,cast,male
Liz Welch,crew,female
Christopher Lloyd,guest,male
Judd Hirsch,guest,male
Marilu Henner,guest,female
Neil Levy,crew,male
Ron Mael,unknown,male
Sparks,guest,unknown
Jerry Lawler,guest,male
Julia DeVito,guest,female
Robert Culp,guest,male
The Charlie Daniels Band,guest,female
Barry W. Blaustein,crew,male
Nelson Lyon,crew,male
Daniel J. Travanti,guest,male
Bruce Weitz,guest,male
Blythe Danner,guest,female
Robert Urich,guest,male
Mink De Ville,guest,unknown
Elizabeth Ashley,guest,female
Daryl Hall,guest,male
John Oates,guest,male
Joseph Papp,guest,male
James Coburn,guest,male
The Cholos,guest,female
Marc Weiner,guest,male
Marv Throneberry,guest,male
Jennifer Holliday,guest,female
Bob Zmuda,guest,male
Brent Musburger,guest,male
Robert Conrad,guest,male
The Allman Brothers Band,guest,female
Mark O'Donnell,crew,male
The Spinners,guest,female
The Yale Whiffenpoofs,guest,female
Tim Curry,guest,male
Frank Nelson,guest,male
Bryant Gumbel,guest,male
Meat Loaf,guest,unknown
Bernadette Peters,guest,female
David Sheffield,crew,male
The Go-Go's,guest,female
Lauren Hutton,guest,female
Rick James,guest,male
Stone City Band,guest,male
William Burroughs,guest,male
Emily Prager,cast,female
Donald Pleasence,guest,male
John Belushi,cast,male
Fear,guest,unknown
Andy Warhol,guest,male
George Kennedy,guest,male
Pete Fatovich,crew,male
Miles Davis,guest,male
Marcus Miller,crew,male
Michael O'Donoghue,cast,male
Denny Dillon,cast,male
Gail Matthius,cast,female
Jr. Walker & The All Stars,guest,unknown
Ann Risley,cast,female
Charles Rocket,cast,male
Matthew Laurance,cast,male
Delbert McClinton,guest,male
Bonnie Bramlett,guest,female
Mark King,guest,male
Karen Roston,crew,female
Patrick Weathers,cast,male
Charlene Tilton,guest,female
Todd Rundgren,guest,male
Deborah Harry,guest,female
Clem Burke,guest,male
Funky 4 + 1 More,guest,unknown
Sally Kellerman,guest,female
Jimmy Cliff,guest,male
Jim Fowler,guest,male
Robert Hays,guest,male
Michael Nesmith,guest,male
Harry Osborne,guest,male
"Joe ""King"" Carrasco & The Crowns",guest,male
Karen Black,guest,female
Cheap Trick,guest,unknown
Stanley Clarke Trio,guest,male
Ray Sharkey,guest,male
Elliott Randall,crew,male
Jack Bruce & Friends,guest,male
David Carradine,guest,male
George Rose,guest,male
Rex Smith,guest,male
"The cast of ""The Pirates of Penzance""",guest,female
Mitchell Kriegman,crew,male
Mitchell Laurance,crew,male
James Brown,guest,male
William Duff-Griffin,guest,male
Ellen Shipley,guest,female
Ellen Burstyn,guest,female
David Sanborn,crew,male
Keith Sykes,guest,male
Malcolm McDowell,guest,male
Captain Beefheart & The Magic Band,guest,unknown
Kid Creole & The Coconuts,guest,unknown
Buck Henry,guest,male
Matt Neuman,crew,male
Walter Williams,crew,male
Peter Aykroyd,cast,male
Jane Curtin,cast,female
Tom Gammill,crew,male
Laraine Newman,cast,female
Sarah Paley,crew,female
Max Pross,crew,male
Gilda Radner,cast,female
Andrew Gold,guest,male
Richard Belzer,crew,male
Nil Nichols,crew,female
The Voices Of Unity,guest,female
3-D,guest,unknown
Howard Johnson,crew,male
Howard Shore,crew,male
The Amazing Rhythm Aces,guest,female
Bruce Cockburn,guest,male
Strother Martin,guest,unknown
The Specials,guest,female
Burt Reynolds,guest,male
Anne Murray,guest,female
Paula Prentiss,guest,female
Richard Benjamin,guest,male
The Grateful Dead,guest,female
Carrie Fisher,guest,female
Sen. Daniel P. Moynihan,guest,unknown
Franne Lee,crew,unknown
The J. Geils Band,guest,female
Jerry Mathers,guest,male
Tony Dow,guest,male
Kirk Douglas,guest,male
Lucie Lancaster,guest,female
Sam & Dave,guest,male
Jack Garner,guest,male
Joan Hackett,guest,female
Gary Numan,guest,male
Bert Convy,guest,male
Tom Scott,guest,male
John B. Anderson,guest,male
Ted Knight,guest,male
Desmond Child & Rouge,guest,male
Buddy Rogers,guest,male
Diana Peckham,guest,female
Doc Zorthian,guest,unknown
Bea Arthur,guest,female
The Roches,guest,female
Bill Russell,guest,male
Ed Herlihy,guest,male
Chicago,guest,unknown
Bob Dylan,guest,male
Fred Tackett,guest,male
Blondie,guest,unknown
Bette Midler,guest,female
Will Lee,crew,male
Maureen Stapleton,guest,female
The Section,guest,female
Russ Kunkel,unknown,male
Milton Berle,guest,male
Craig Nettles,guest,male
Ornette Coleman,guest,unknown
Prime Time,guest,unknown
Buddy Freed,guest,male
Marvin Goldhar,guest,male
Nelson Briles,guest,male
Steve Henderson,guest,male
Ed Kranepool,guest,male
Margot Kidder,guest,female
The Chieftans,guest,female
Gary Busey,guest,male
Eubie Blake,guest,unknown
Gregory Hines,guest,male
Bob Cranshaw,crew,male
Bert Jones,crew,male
Paul Butterfield,guest,male
Rick Danko,guest,male
Kate Jackson,guest,female
Rick Nelson,guest,male
Judy Collins,guest,female
Cicely Tyson,guest,female
Talking Heads,guest,unknown
The Doobie Brothers,guest,female
Peter Tosh,guest,male
Bob & Ray,guest,male
Kate Bush,guest,female
Walter Matthau,guest,male
George Coe,cast,male
Charlie Matthau,guest,male
Bill Kreutzmann,unknown,male
Van Morrison,guest,male
Frank Zappa,guest,male
Devo,guest,unknown
Sun Ra,guest,unknown
Richard Dreyfuss,guest,male
Jimmy Buffett,guest,male
Gary Tigerman,guest,male
Toni Basil,unknown,female
Michael Sarrazin,guest,male
Keith Jarrett,guest,male
Gravity,guest,unknown
Eugene Record,guest,male
Christopher Lee,guest,male
Stacy Keach,guest,female
Rick Overton,guest,male
Cheetah Chrome,guest,unknown
Jill Clayburgh,guest,female
Eddie Money,guest,male
Stephen Bishop,guest,male
O.J. Simpson,guest,male
Ashford & Simpson,guest,unknown
Robert Klein,guest,male
The Dirt Band,guest,female
Miskel Spillman,guest,unknown
Joe Franken (I),guest,male
Phoebe Franken,guest,female
Mary Kay Place,guest,female
Connie Crawford,guest,female
David Lewis,guest,male
Deb Blair,guest,female
Richard Kneip,guest,male
The Original Sloth Band,guest,female
Ray Charles,guest,male
"David ""Fathead"" Newman",guest,male
Hank Crawford,guest,male
Leroy Cooper,guest,male
Marcus Belgrave,guest,male
Phillip Guilbeau,guest,male
The Raelettes,guest,female
Franklyn Ajaye,guest,male
Charles Grodin,guest,male
The Persuasions,guest,female
Toots Thielemans,guest,unknown
Hugh Hefner,guest,male
Libby Titus,guest,female
Taj Mahal,guest,unknown
Jackson Browne,guest,male
David Lindley,guest,male
Edie Baskin,crew,female
Kenny Vance,guest,male
David Lasley,crew,male
Dahaud Elias Shaar,crew,unknown
Bella Abzug,guest,female
Shelley Duvall,guest,female
Joan Armatrading,guest,female
Spalding Gray,unknown,unknown
Jeanette Charles,guest,female
Alan Price,guest,male
Neil Innes,guest,male
Gary Weis,crew,male
The McGarrigle Sisters,guest,female
Roslyn Kind,guest,female
Jacqueline Carlin,crew,female
Julian Bond,guest,male
Tom Waits,guest,male
Brick,guest,unknown
Patti Smith,guest,female
Jack Burns,guest,male
Broderick Crawford,guest,male
