m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
7.5,7.8,0.0,0.0,0.0,8.0,7.9,8.1,7.1,6.9,7.8,7.5,7.5,6.8,7.1,7.2,7.7,7.6,13,14,2,12,24,31,28,13,10,4,15,41
7.5,8.5,0.0,0.0,0.0,8.2,8.0,8.7,7.3,7.1,8.1,7.3,7.2,7.9,7.3,7.5,7.5,7.7,12,23,7,18,47,32,15,3,3,6,18,41
7.3,6.8,0.0,0.0,0.0,7.6,7.7,6.4,6.9,6.8,7.1,7.3,7.3,6.5,7.0,7.1,7.2,7.3,11,74,43,58,29,10,7,1,3,0,10,41
6.4,7.0,0.0,0.0,0.0,6.5,6.3,6.9,6.5,6.3,7.1,6.6,6.5,7.3,6.6,6.4,6.5,6.5,10,23,4,15,31,35,21,12,6,6,21,41
6.2,7.0,0.0,0.0,0.0,6.5,6.5,6.3,6.3,5.9,7.4,6.2,6.2,5.7,6.1,6.3,6.3,6.3,9,50,18,57,42,22,6,5,4,3,9,41
7.4,6.9,0.0,0.0,0.0,7.8,8.3,6.1,6.9,6.8,7.1,7.0,6.8,8.0,7.0,6.9,7.7,7.3,8,75,45,58,26,14,4,4,3,6,16,41
7.6,7.5,0.0,0.0,0.0,8.0,8.1,7.9,7.4,7.4,7.3,7.3,7.3,7.5,7.4,7.4,7.8,7.7,7,17,5,17,35,34,17,6,5,4,5,41
5.5,4.3,0.0,0.0,0.0,5.3,5.4,3.8,5.7,5.9,4.7,4.9,4.7,6.0,5.8,5.0,5.6,5.2,6,61,36,60,38,10,12,6,0,1,7,41
7.2,7.1,0.0,0.0,0.0,7.5,7.9,5.8,7.0,6.9,7.5,6.8,6.5,8.6,7.3,7.2,7.1,7.2,5,36,18,38,44,25,12,5,3,4,8,41
6.6,6.1,0.0,0.0,0.0,7.1,7.4,6.4,5.9,6.1,5.3,6.3,6.0,7.7,6.3,6.7,6.4,6.6,4,22,14,29,50,21,9,3,1,2,12,41
6.9,7.5,0.0,0.0,0.0,7.7,7.5,7.6,6.6,6.3,7.4,7.1,6.8,8.7,6.8,6.9,7.1,7.2,3,79,5,12,25,33,29,18,18,31,239,41
4.0,4.7,0.0,0.0,0.0,4.5,4.7,4.0,4.4,4.1,5.9,3.5,3.5,4.3,4.8,4.0,4.5,4.1,2,43,19,54,36,20,12,2,2,6,7,41
