impid,aid,imp_name
3629,Sasheer Zamata,Omarosa Manigault-Stallworth
3717,Beck Bennett,Paul Hollywood
3716,Aidy Bryant,Mel Giedroyc
3718,Kate McKinnon,Mary Berry
3719,Melissa Villasenor,Sue Perkins
3703,Mikey Day,Tim Kaine
3574,Cecily Strong,Brooke Baldwin
3702,Melissa Villasenor,Elaine Quijano
3704,Alex Moffat,George T. Conway III
3706,Mikey Day,Ross Duffer
3705,Alex Moffat,Matt Duffer
3692,Margot Robbie,Ivanka Trump
3622,Larry David,Bernie Sanders
1291,Darrell Hammond,Bill Clinton
3116,Bobby Moynihan,Chris Christie
3695,Cecily Strong,Lin-Manuel Miranda
3697,Melissa Villasenor,Sarah Silverman
3699,Margot Robbie,Keira Knightley
3091,Fred Armisen,Osama bin Laden
3226,Jay Pharoah,Barack Obama
3689,Maya Rudolph,Dilma Rousseff
3677,Vanessa Bayer,Ivanka Trump
1720,Darrell Hammond,Donald Trump
3631,Jay Pharoah,Ben Carson
3687,Drake,Akbar Gbaja-Biamila
3688,Beck Bennett,Matt Iseman
3227,Taran Killam,Paul Ryan
3331,Taran Killam,Ted Cruz
3678,Brie Larson,Heidi Cruz
3679,Brie Larson,Lesley Gore
3681,Beck Bennett,Bing Crosby
3680,Aidy Bryant,Ethel Merman
3686,Taran Killam,Roy Orbison
3683,Kate McKinnon,Ginger Rogers
3685,Kyle Mooney,Fred Astaire
3682,Jay Pharoah,Tupac Shakur
3684,Kenan Thompson,Paul Robeson
3492,Sasheer Zamata,Eartha Kitt
3675,Beck Bennett,Wolf Blitzer
3676,Kenan Thompson,Errol Louis
3337,Jay Pharoah,Shaquille O'Neal
2222,Kenan Thompson,Al Sharpton
3674,Kyle Mooney,Michael Jackson
3673,Jon Rudnitsky,Tom Cruise
3670,Kate McKinnon,Kate Bolduan
3669,Cecily Strong,Scottie Nell Hughes
3211,Bobby Moynihan,George R. R. Martin
3672,Taran Killam,Iain Glen
3671,Kate McKinnon,Emilia Clarke
3033,Jay Pharoah,Jay-Z
3663,Ariana Grande,Jennifer Lawrence
3633,Beck Bennett,Javier Bardem
3668,Taran Killam,Quentin Tarantino
3667,Kyle Mooney,Woody Allen
3664,Bobby Moynihan,Kevin Smith
3665,Jay Pharoah,Idris Elba
3666,Jon Rudnitsky,Martin Scorsese
3662,Kate McKinnon,Flossie Dickey
3466,Beck Bennett,Jeb Bush
3657,Kate McKinnon,Catherine Cruz
3658,Vanessa Bayer,Jane Sanders
3660,Taran Killam,Peyton Manning
3659,Kenan Thompson,Cam Newton
2682,Tina Fey,Sarah Palin
3649,Pete Davidson,Marco Rubio
3651,Kate McKinnon,Lindsey Graham
3652,Kyle Mooney,Neil Cavuto
3650,Cecily Strong,Maria Bartiromo
3653,Adam Driver,Cris Collinsworth
3654,Beck Bennett,Al Michaels
3655,Bobby Moynihan,Bruce Arians
3656,Cecily Strong,Michele Tafoya
3647,Colin Jost,John Kasich
3598,Kyle Mooney,Rand Paul
3648,Jon Rudnitsky,Wolf Blitzer
3646,Cecily Strong,Carly Fiorina
2209,Amy Poehler,Hillary Clinton
2143,Kenan Thompson,Bill Cosby
1724,Will Ferrell,George W. Bush
