impid,aid,imp_name
3228,Bill Hader,Noh Hong-cheol
3230,Taran Killam,Yoo Jae-Suk
3231,Bobby Moynihan,June Shannon
3232,Vanessa Bayer,Alana Thompson
3233,Seth MacFarlane,Ryan Lochte
3223,Mick Jagger,Colin McKechnie
3224,Mick Jagger,Steven Tyler
2900,Fred Armisen,Carlos Santana
3225,Abby Elliott,Jewel
2680,Bill Hader,Dave Matthews
2641,Fred Armisen,Barack Obama
3216,Fred Armisen,Rupert Murdoch
3171,Taran Killam,Tim Tebow
3218,Jay Pharoah,Victor Cruz
3217,Andy Samberg,Troy Polamalu
3220,Kristen Wiig,Patricia Krentcil
3016,Abby Elliott,Khloé Kardashian
3222,Fred Armisen,Cheech Marin
3221,Bill Hader,Tommy Chong
3002,Jason Sudeikis,Robert Osborne
3092,Bobby Moynihan,Newt Gingrich
3102,Andy Samberg,Rick Santorum
3103,Kenan Thompson,Herman Cain
2802,Kristen Wiig,Michele Bachmann
3212,Taran Killam,Kit Harington
2982,Abby Elliott,Ke$ha
3213,Andy Samberg,Weird Al Yankovic
3214,Kenan Thompson,Tay Zonday
3215,Josh Brolin,Ozzie Guillén
3044,Fred Armisen,Ice-T
3182,Andy Samberg,Andy Lewis
3201,Kenan Thompson,Alvin Parks Jr.
3197,Kristen Wiig,Ann Romney
3202,Sofia Vergara,Fran Drescher
3204,Fred Armisen,Joey Lawrence
3135,Abby Elliott,Zooey Deschanel
2970,Taran Killam,Michael Cera
3203,Andy Samberg,Mayim Bialik
2480,Kristen Wiig,Drew Barrymore
3205,Sofia Vergara,"Golnesa ""GG"" Gharachedaghi"
3209,Taran Killam,Andy Cohen
3206,Kate McKinnon,Tabatha Coffey
3208,Nasim Pedrad,"Mercedes ""MJ"" Javid"
3207,Kenan Thompson,Desmond Tutu
3199,Taran Killam,Rush Limbaugh
2992,Kristen Wiig,Paula Deen
3200,Kristen Wiig,Liza Minnelli
2834,Bill Hader,Shepard Smith
3196,Andy Samberg,Kid Rock
2874,Bobby Moynihan,"Nicole ""Snooki"" Polizzi"
3188,Maya Rudolph,Maya Angelou
3189,Bill Hader,Stephen King
3191,Kenan Thompson,Cornel West
3192,Justin Timberlake,Justin Vernon
2260,Fred Armisen,Prince
2764,Abby Elliott,Angelina Jolie
3194,Nasim Pedrad,Nicki Minaj
3163,Kristen Wiig,Taylor Swift
3195,Jay Pharoah,Geoffrey Canada
2706,Maya Rudolph,Michelle Obama
3183,Fred Armisen,SkyBlu
3164,Nasim Pedrad,M.I.A.
3184,Jason Sudeikis,Redfoo
2793,Kristen Wiig,Madonna
3187,Zooey Deschanel,Mary-Kate Olsen
2632,Kristen Wiig,Bjork
3175,Kristen Wiig,Callista Gingrich
3176,Channing Tatum,Matthew McConaughey
3177,Channing Tatum,Dan Patrick
2965,Bill Hader,Cris Collinsworth
3178,Jay Pharoah,Tony Dungy
2966,Jason Sudeikis,Al Michaels
3179,Kenan Thompson,Rodney Harrison
3180,Kristen Wiig,Lana Del Rey
3181,Channing Tatum,Tom Brady
2875,Bill Hader,"Mike ""The Situation"" Sorrentino"
2762,Jason Sudeikis,Ricky Gervais
3172,Charles Barkley,Shaquille O'Neal
2798,Bill Hader,Ernie Johnson Jr.
3174,Bobby Moynihan,Ron Jeremy
3158,Jimmy Fallon,Regis Philbin
3159,Nasim Pedrad,Hoda Kotb
3160,Jimmy Fallon,Justin Bieber
3161,Jimmy Fallon,Russell Brand
1841,Jimmy Fallon,Sting
3162,Fred Armisen,Thom Yorke
3165,Taran Killam,Scott McCreery
3166,Andy Samberg,Jimmy Fallon
3169,Jay Pharoah,Brian Dawkins
3168,Andy Samberg,Matt Prater
3170,Kenan Thompson,Chris Clark
2838,Kristen Wiig,Greta Van Susteren
3142,Katy Perry,Christina Aguilera
3145,Fred Armisen,Tony Sirico
3148,Paul Brittain,Osama bin Laden
3143,Abby Elliott,Kirsten Dunst
2978,Bill Hader,Alan Alda
3144,Bobby Moynihan,Rico Rodriguez
3146,Jay Pharoah,Cuba Gooding Jr.
3147,Kristen Wiig,Kim Cattrall
3150,Vanessa Bayer,Amelia Earhart
3149,Nasim Pedrad,Marilyn Monroe
3151,Katy Perry,Florence Welch
2848,Fred Armisen,Randy Newman
3152,Andy Samberg,Chris Barron
3153,Jason Sudeikis,Meat Loaf
2904,Kristen Wiig,Gwen Stefani
3154,Katy Perry,Pippa Middleton
3155,Abby Elliott,Kate Middleton
2999,Bill Hader,Prince Philip
2998,Andy Samberg,Prince William
3156,Katy Perry,Kelly O'Donnell
3157,Taran Killam,Jim VandeHei
2078,Maya Rudolph,Whitney Houston
2729,Bill Hader,Keith Morrison
3134,Jason Segel,Antonio Banderas
3138,Fred Armisen,George Lopez
3139,Paul Brittain,Michael Gelman
3136,Bill Hader,Garrison Keillor
3137,Bobby Moynihan,Rosie O'Donnell
3141,Jason Segel,André the Giant
3132,Fred Armisen,John Harwood
3104,Paul Brittain,Ron Paul
3105,Taran Killam,Jon Huntsman
3133,Nasim Pedrad,Maria Bartiromo
2810,Fred Armisen,Muammer Kaddafi
3127,Jay Pharoah,Lamar Odom
3126,Andy Samberg,Kris Humphries
3128,Kristen Wiig,Kris Jenner
3130,Bill Hader,Dr. Mehmet Oz
3131,Adam Levine,Yanni
3117,Jason Sudeikis,Hank Williams Jr.
3119,Ben Stiller,Mandy Patinkin
3118,Hugh Jackman,Daniel Radcliffe
2820,Abby Elliott,Nancy Grace
3083,Andy Samberg,Hugh Jackman
3121,Ben Stiller,Eckhart Tolle
3122,Ben Stiller,Bruce Springsteen
3123,Fred Armisen,Steve Van Zandt
3124,Mike O'Brien,Max Weinberg
2969,Bobby Moynihan,"Jonah Hill , manager"
3115,Jay Pharoah,Chris Rock
2932,Kenan Thompson,Tyler Perry
3101,Alec Baldwin,Rick Perry
3106,Vanessa Bayer,Susan Lucci
3107,Alec Baldwin,Al Pacino
2324,Fred Armisen,Tony Danza
3109,Bill Hader,Harvey Fierstein
3114,Taran Killam,Tom Hanks
3113,Taran Killam,Bobcat Goldthwait
3110,Bobby Moynihan,Mindy Cohn
3112,Nasim Pedrad,Paula Abdul
3108,Andy Samberg,Crispin Glover
3111,Kenan Thompson,Sinbad
3098,Taran Killam,Dominique Strauss-Kahn
3099,Taran Killam,Chris Kirkpatrick
3100,Fred Armisen,Ben Bernanke
2740,Abby Elliott,Rachel Maddow
2797,Kenan Thompson,Roland S. Martin
2558,Kenan Thompson,Louis Armstrong
3096,Ed Helms,Roger Smith
3097,Kristen Wiig,Ann-Margret
2973,Kenan Thompson,Jimmy McMillan
3094,Abby Elliott,Rosie Pope
3095,Jay Pharoah,Lawrence Thompson
3076,Helen Mirren,Helena Bonham Carter
2955,Paul Brittain,Johnny Depp
3045,Paul Brittain,James Franco
3077,Bill Hader,Tim Burton
3078,Taran Killam,Ricky Martin
3082,Helen Mirren,Julie Andrews
3085,Taran Killam,Gerard Butler
3086,Helen Mirren,Eleanor Roosevelt
3088,Fred Armisen,Joel Surnow
2877,Abby Elliott,Marilyn Monroe
3087,Bill Hader,Franklin Roosevelt
3090,Taran Killam,Adolf Hitler
3089,Kenan Thompson,Theodore Roosevelt
3071,Tom Hanks,Michael Caine
3073,Fred Armisen,Ringo Starr
2907,Bill Hader,Richard Branson
3074,Taran Killam,Ian McKellen
3072,Andy Samberg,Bono
2775,Kenan Thompson,Sir Mix-A-Lot
3075,Nasim Pedrad,Vanessa Anne Hudgens
3053,Bill Hader,Charlie Sheen
3064,Nasim Pedrad,Tracy Wolfson
3061,Andy Samberg,Dick Vitale
2925,Jason Sudeikis,Jim Nantz
3063,Kristen Wiig,Melissa Leo
3069,Vanessa Bayer,Sara Gilbert
3065,Abby Elliott,Leah Remini
3066,Bill Hader,Steven Tyler
3068,Nasim Pedrad,Sharon Osbourne
2717,Kenan Thompson,Whoopi Goldberg
3067,Kristen Wiig,Julie Chen
3070,Kristen Wiig,Julie Taymor
3052,Miley Cyrus,Lindsay Lohan
2845,Abby Elliott,Christina Aguilera
3054,Taran Killam,John Galliano
3055,Miley Cyrus,Fergie
3057,Jay Pharoah,Will.i.am
3056,Andy Samberg,Taboo
3058,Kenan Thompson,apl.de.ap
3059,Kenan Thompson,Raven-Symoné
3060,Miley Cyrus,Justin Bieber
3048,Jason Sudeikis,Bill O'Reilly
3043,Fred Armisen,Hosni Mubarak
3051,Taran Killam,Rand Paul
2553,Kristen Wiig,Nancy Pelosi
942,Dana Carvey,Mickey Rooney
2826,Abby Elliott,Anna Faris
2977,Jay Pharoah,Eddie Murphy
830,Dana Carvey,Regis Philbin
3047,Taran Killam,Michael Gelman
2963,Andy Samberg,Mark Zuckerberg
3041,Bill Hader,"Don Herbert , Mr. Wizard"
3042,Jason Sudeikis,Mark McGrath
3027,Bobby Moynihan,Sean Hannity
3028,Nasim Pedrad,Michelle Malkin
2807,Jason Sudeikis,Glenn Beck
3029,Jason Sudeikis,Kenny Rogers
3030,Kristen Wiig,Dolly Parton
3031,Gwyneth Paltrow,Taylor Swift
3032,Abby Elliott,Katy Perry
3034,Nasim Pedrad,Alicia Keys
3035,Nasim Pedrad,Christina Aguilera
3036,Bill Hader,Cher
3037,Bobby Moynihan,Chaz Bono
3038,Kenan Thompson,Alfonso Ribeiro
3039,Jay Pharoah,Kevin Garnett
3040,Gwyneth Paltrow,Heidi Klum
2669,Bill Hader,Eliot Spitzer
2919,Nasim Pedrad,Christiane Amanpour
2707,Andy Samberg,Rahm Emanuel
3009,Bill Hader,Julian Assange
3017,Jeff Bridges,Nick Nolte
3018,Jeff Bridges,Duane Chapman
2485,Fred Armisen,Larry King
3019,Abby Elliott,Wynonna Judd
3020,Kenan Thompson,Jermaine Jackson
3021,Kristen Wiig,Naomi Judd
2783,Kenan Thompson,Michael Steele
3023,Abby Elliott,"Donna Reed , Mary Hatch"
2938,Bill Hader,Ben Mankiewicz
2854,Jason Sudeikis,"Jimmy Stewart , George Bailey"
3024,Abby Elliott,Maggie Gyllenhaal
2751,Andy Samberg,Billy Bob Thornton
2923,Jason Sudeikis,Sam Elliott
2884,Abby Elliott,Meryl Streep
3007,Robert DeNiro,Hamid Karzai
3013,Paul Brittain,Dax Holt
3010,Bobby Moynihan,Gary Trock
3012,Nasim Pedrad,Anna Kachikyan
3011,Jay Pharoah,Charles Latibeaudiere
3008,Andy Samberg,Max Hodges
2994,Kenan Thompson,Charles Rangel
2997,Anne Hathaway,Kate Middleton
3001,Jason Sudeikis,Chris Hunter
3003,Anne Hathaway,Alanis Morissette
3004,Andy Samberg,Robert Smith
2901,Jason Sudeikis,Adam Lambert
3006,Kristen Wiig,Dolores O'Riordan
2981,Bill Hader,Hu Jintao
2983,Kristen Wiig,Dina Lohan
2985,Jay Pharoah,Nick Cannon
2984,Andy Samberg,Mario Lopez
2986,Scarlett Johansson,Patti Stanger
2987,Abby Elliott,Rachel Federoff
2988,Bobby Moynihan,Destin Pfaff
2989,Scarlett Johansson,Rosario Dawson
2990,Taran Killam,Chris Pine
2555,Jason Sudeikis,George W. Bush
2974,Jon Hamm,John F. Kennedy
2504,Fred Armisen,Liberace
2457,Bill Hader,Vincent Price
2455,Kristen Wiig,Judy Garland
2975,Jon Hamm,Robin Williams
2976,Bobby Moynihan,Sam Kinison
2650,Kristen Wiig,Jennifer Tilly
2769,Abby Elliott,Joan Cusack
2980,Taran Killam,Pee-Wee Herman
2979,Taran Killam,Gilbert Gottfried
2968,Paul Brittain,Harry Reid
2971,Emma Stone,Lindsay Lohan
2716,Fred Armisen,Joy Behar
2842,Nasim Pedrad,Barbara Walters
2718,Kristen Wiig,Elisabeth Hasselbeck
2972,Jason Sudeikis,Brett Favre
2959,Nasim Pedrad,Gloria Allred
2622,Fred Armisen,Gene Simmons
2960,Bobby Moynihan,Verne Troyer
2961,Kenan Thompson,Magic Johnson
2939,Kristen Wiig,Christine O'Donnell
2671,Kristen Wiig,Suze Orman
2964,Jane Lynch,Faith Hill
2967,Jason Sudeikis,Patrick R. Cox
2953,Bobby Moynihan,Pete Rouse
2954,Bryan Cranston,Billy Ray Cyrus
2958,Paul Brittain,Vili Fualaau
2957,Abby Elliott,Mary Kay Letourneau
2940,Kenan Thompson,Lorne Michaels
2942,Abby Elliott,Laura Linney
2943,Nasim Pedrad,Edie Falco
2944,Andy Samberg,Stanley Tucci
2945,Kristen Wiig,Mary-Louise Parker
2527,Amy Poehler,Kim Jong Il
2947,Abby Elliott,Brooke Hogan
2621,Bill Hader,Steven Seagal
2948,Taran Killam,Steven Slater
2951,Andy Samberg,Brigitte Nielsen
2736,Jason Sudeikis,Rod Blagojevich
2952,Kenan Thompson,Tracy Chapman
2935,Fred Armisen,Steve Newman
2934,Bill Hader,Tony Hayward
2936,Jason Sudeikis,Tim Probert
2937,Abby Elliott,Sally Field
2921,Abby Elliott,K.D. Lang
2927,Ryan Phillippe,Robert Pattinson
2928,Abby Elliott,Shaun White
2202,Will Forte,John Edwards
2929,Bobby Moynihan,Susan Boyle
2931,Jenny Slate,Kristen Stewart
2933,Kristen Wiig,Kate Gosselin
2204,Kenan Thompson,Chaka Khan
2924,Bill Hader,Nick Faldo
2864,Kenan Thompson,Tiger Woods
2704,Jason Sudeikis,Todd Palin
2926,Tina Fey,Dina Lohan
2920,Bobby Moynihan,Eric Massa
2922,Bill Hader,Rod Serling
2888,Will Forte,Harry Reid
2914,Abby Elliott,Sara Haines
2851,Jenny Slate,Hoda Kotb
2915,Kenan Thompson,Mo'Nique
2916,Abby Elliott,Jessica McClure
2917,Bill Hader,Jack Cafferty
2918,Kristen Wiig,Gloria Borger
2897,Jennifer Lopez,Rihanna
2898,Abby Elliott,Melissa Etheridge
2906,Will Forte,Willie Nelson
2847,Bill Hader,Eddie Vedder
2755,Bobby Moynihan,David Crosby
2905,Nasim Pedrad,Shakira
2899,Andy Samberg,Josh Groban
2902,Jenny Slate,Lady Gaga
2903,Kenan Thompson,Quincy Jones
2459,Fred Armisen,Steve Jobs
2910,Nasim Pedrad,Mary-Kate Olsen
2909,Jenny Slate,Ashley Olsen
2908,Kristen Wiig,Martha Stewart
2913,Fred Armisen,Greg Camp
2911,Bill Hader,Michael Klooster
2912,Bobby Moynihan,Steve Harwell
2891,Will Forte,Oliver North
2890,Bill Hader,Robert Gibbs
2892,Ashton Kutcher,Mel Gibson
2893,Ashton Kutcher,Billy Bush
2895,Fred Armisen,Tom Sherak
2894,Abby Elliott,Anne Hathaway
2896,Nasim Pedrad,Maria Menounos
2886,Jon Hamm,Scott Brown
2695,Fred Armisen,Barney Frank
2677,Bill Hader,Robert Byrd
2887,Nasim Pedrad,Barbara Boxer
2889,Nasim Pedrad,Sonia Sotomayor
1320,Darrell Hammond,Jay Leno
2883,Will Forte,Carson Daly
2881,Bill Hader,Conan O'Brien
2882,Jason Sudeikis,David Letterman
2885,Jason Sudeikis,Jim Simpson
2878,Fred Armisen,Ali Abdullah Saleh
2676,Will Forte,David Petraeus
2879,Jason Sudeikis,Kevin Harlan
2880,Jason Sudeikis,Hank Haney
2873,Andy Samberg,John Stockton
2876,James Franco,James Dean
2492,Kristen Wiig,Katharine Hepburn
2699,Andy Samberg,Mark Wahlberg
2870,Bill Hader,John Ensign
2871,Jason Sudeikis,Mark Sanford
2872,Jason Sudeikis,Tim Finchem
2860,Bobby Moynihan,Tareq Salahi
2861,Kristen Wiig,Michaele Salahi
2862,Blake Lively,Elin Nordegren
2865,Abby Elliott,Brittany Murphy
2866,Bill Hader,Andy Azula
2867,Blake Lively,Cher
2869,Bill Hader,Chris Hansen
2868,Andy Samberg,Keanu Reeves
2856,Will Forte,Hu Jintao
2858,Joseph Gordon-Levitt,Jason Mraz
2857,Dave Matthews,Ozzy Osbourne
2447,Andy Samberg,Jack Johnson
2679,Kenan Thompson,Boyd Tinsley
2859,Bobby Moynihan,Jake Roberts
2852,January Jones,Grace Kelly
2853,Bobby Moynihan,Alfred Hitchcock
2566,Darrell Hammond,Lou Dobbs
2836,Fred Armisen,Joe Trippi
2839,Will Forte,Brit Hume
2837,Kenan Thompson,Juan Williams
2840,Taylor Swift,Kate Gosselin
2843,Abby Elliott,Sarah McLachlan
2844,Taylor Swift,Shakira
2846,Andy Samberg,Adam Duritz
2849,Kenan Thompson,Jennifer Hudson
2850,Kristen Wiig,Natalie Merchant
2831,Will Forte,Mitch McConnell
2829,Bill Hader,Max Baucus
2830,Jenny Slate,Olympia Snowe
2833,Kristen Wiig,Picabo Street
2822,Bill Hader,John Barrymore
2823,Kristen Wiig,Ethel Barrymore
2825,Drew Barrymore,Sharon Osbourne
2824,Justin Long,Matthew McConaughey
2828,Nasim Pedrad,Charlyne Yi
2827,Kenan Thompson,Ray Parker Jr.
2518,Kenan Thompson,Maya Angelou
2811,Ryan Reynolds,Donny Osmond
2816,Fred Armisen,Alan Osmond
2812,Abby Elliott,Marie Osmond
2814,Bill Hader,John Phillips
2815,Bobby Moynihan,Wayne Osmond
2819,Nasim Pedrad,Genevieve Phillips
2813,Andy Samberg,Jeff Sessler
2817,Jason Sudeikis,Richard Dawson
2818,Kristen Wiig,Mackenzie Phillips
1751,Darrell Hammond,Arnold Schwarzenegger
2821,Bill Hader,Phil Spector
2554,Andy Samberg,Kevin Federline
1871,Darrell Hammond,Dick Cheney
1399,Will Ferrell,Alex Trebek
1400,Norm MacDonald,Burt Reynolds
1402,Darrell Hammond,Sean Connery
1378,Will Ferrell,Harry Caray
2780,Will Forte,Timothy Geithner
2796,Fred Armisen,Nouriel Roubini
2794,Zac Efron,Cody Gifford
2743,Michaela Watkins,Hoda Kotb
2795,Darrell Hammond,Walt Disney
2515,Kenan Thompson,Nipsey Russell
2787,Tracy Morgan,Sherri Shepherd
2763,Michaela Watkins,Barbara Walters
2788,Bill Hader,John Malkovich
2789,Abby Elliott,"Chloë Sevigny , Nicolette"
2791,Jason Sudeikis,"Bill Paxton , Bill"
2792,Kristen Wiig,"Jeanne Tripplehorn , Barb"
2790,Casey Wilson,"Ginnifer Goodwin , Margene"
2731,Fred Armisen,Bruce Johnson
2782,Will Forte,Tom Coburn
2672,Darrell Hammond,John McCain
2781,Kristen Wiig,Kay Bailey Hutchison
2678,Kristen Wiig,Jamie Lee Curtis
2784,Dwayne Johnson,Dennis Rodman
2785,Fred Armisen,Tom Green
2786,Michaela Watkins,Joan Rivers
2773,Dan Aykroyd,John Boehner
2774,Darrell Hammond,Mitch McConnell
2776,Jason Sudeikis,Joaquin Phoenix
2777,Alec Baldwin,Richard Burton
2779,Kristen Wiig,Carol Channing
2778,Casey Wilson,Elizabeth Taylor
2765,Fred Armisen,Harry Reid
2766,Andy Samberg,Mark Spitz
2767,Kenan Thompson,James Harrison
2768,Bradley Cooper,Christian Bale
2771,Darrell Hammond,Jim Cramer
2772,Kenan Thompson,George Foreman
2760,Fred Armisen,Bernard Madoff
2759,Kristen Wiig,Diane Sawyer
2467,Jason Sudeikis,Harry Connick Jr.
2761,Rosario Dawson,Salma Hayek
2741,Kenan Thompson,Roland Burris
2745,Fred Armisen,David Lee Roth
2744,Abby Elliott,Jamie Lynn Spears
2752,Will Forte,Joe Pantoliano
2750,Bill Hader,Daniel Day-Lewis
2748,Darrell Hammond,Tommy Lee Jones
2747,Kenan Thompson,Michael Clarke Duncan
2749,Michaela Watkins,Julia Louis-Dreyfus
2753,Neil Patrick Harris,David Frost
2757,Fred Armisen,Paul Lynde
2754,Bill Hader,David Bowie
2756,Darrell Hammond,Richard Nixon
2758,Kenan Thompson,Fred Berry
2738,Will Forte,Evan Bayh
2640,Darrell Hammond,Christopher Dodd
2734,Bobby Moynihan,Richard Shelby
2737,Kristen Wiig,Patti Blagojevich
2735,Casey Wilson,Elizabeth Dole
2732,Kenan Thompson,Plaxico Burress
2733,Fred Armisen,Boy George
2728,Will Forte,Rick Wagoner
2722,Bill Hader,Walter Jones
2725,Darrell Hammond,Robert Nardelli
2723,Bobby Moynihan,Peter King
2726,Jason Sudeikis,Alan Mulally
2727,Kenan Thompson,Gregory Meeks
2724,Casey Wilson,Carolyn Maloney
2730,Michaela Watkins,Arianna Huffington
2307,Will Forte,Zell Miller
2721,Kristen Wiig,Janet Napolitano
2714,Ben Affleck,Alec Baldwin
2715,Casey Wilson,Jennifer Aniston
2719,Ben Affleck,Keith Olbermann
2720,Fred Armisen,Richard Wolffe
2705,Darrell Hammond,John Murtha
2708,Bill Hader,Bill Ayers
2709,Bobby Moynihan,Barney Frank
2710,Kenan Thompson,Jeremiah Wright
2711,Bill Hader,Ralph Nader
2712,Jon Hamm,James Mason
2713,Kristen Wiig,Gloria Swanson
2703,Will Forte,Greg Allman
2303,Queen Latifah,Gwen Ifill
2698,Will Forte,George Soros
2696,Darrell Hammond,Herbert Sandler
2697,Casey Wilson,Marion Sandler
2700,Casey Wilson,Katy Perry
2693,Amy Poehler,Katie Couric
2685,Bill Hader,Gabriel Grasso
2686,Casey Wilson,Jackie Glass
2687,Andy Samberg,Juliette Lewis
2689,Kristen Wiig,Kyra Sedgwick
2690,Jason Sudeikis,Richard Fuld
2691,Fred Armisen,Dov Charney
2536,Fred Armisen,Martin Scorsese
2537,Amy Poehler,Rosie Perez
2692,Bill Hader,Willem Dafoe
2683,Amy Poehler,Debbie Phelps
2684,Darrell Hammond,Bela Karolyi
2497,Fred Armisen,Howie Mandel
1741,Darrell Hammond,Regis Philbin
1322,Darrell Hammond,Jesse Jackson
2675,Andy Samberg,Carl Levin
2681,Ashton Kutcher,John Mayer
2673,Andy Samberg,Thomas Beatie
2674,Kristen Wiig,Padma Lakshmi
2041,Darrell Hammond,Jimmy Carter
2670,Kristen Wiig,Silda Spitzer
2656,Will Forte,Brian Williams
2663,Amy Adams,Heidi Klum
2664,Bill Hader,Tim Gunn
2662,Amy Poehler,Christian Siriano
2665,Amy Adams,Ellen Pompeo
2666,Jason Sudeikis,Roger Clemens
2667,Fred Armisen,Ahmad Badawi
2668,Bill Hader,Yitzhak Hofi
1833,Darrell Hammond,Tim Russert
2657,Andy Samberg,Diablo Cody
2661,Ellen Page,Miley Cyrus
2659,Fred Armisen,Kazuko Shiraishi
2571,Amy Poehler,Dakota Fanning
2658,Jason Sudeikis,Bruce Vilanch
2660,Casey Wilson,Mariam Budia
2644,Will Forte,Jorge Ramos
2643,Jason Sudeikis,John King
2642,Kristen Wiig,Campbell Brown
2647,Tina Fey,Daisy De La Hoya
2645,Fred Armisen,Big John Murray
2646,Jason Sudeikis,Bret Michaels
2649,Kristen Wiig,Peyton Turner
2648,Casey Wilson,Kristy Joe Muller
2652,Tina Fey,Mary Jo Buttafuoco
2651,Will Forte,Lance Ito
2560,Bill Hader,John Mark Karr
2653,Andy Samberg,Matthew Lesko
2655,Jason Sudeikis,Ted Allen
2654,Casey Wilson,Rachael Ray
2384,Horatio Sanz,Bill Richardson
2638,Fred Armisen,Mike Gravel
2634,Bill Hader,Christopher Dodd
2635,Simon Rich,Dennis Kucinich
2636,Kristen Wiig,Elizabeth Kucinich
2639,Amy Poehler,J.K. Rowling
2223,Amy Poehler,Dennis Kucinich
1723,Darrell Hammond,Al Gore
2627,Andy Samberg,Josh Drimmer
2631,Fred Armisen,Tico Torres
2628,Will Forte,Alec John Such
2629,Andy Samberg,David Bryan
2630,Jason Sudeikis,Richie Sambora
2030,Amy Poehler,Sharon Osbourne
2607,Fred Armisen,Sam Waterston
2623,Darrell Hammond,Fred Thompson
2625,Kenan Thompson,Willie Randolph
2624,Fred Armisen,Omar Minaya
2608,Fred Armisen,"Corbin Bleu , Chad"
2609,Maya Rudolph,"Vanessa Anne Hudgens , Gabriella"
2610,Andy Samberg,"Zac Efron , Troy"
2616,Will Forte,Mark Sellers
2615,Amy Poehler,Jamilah Lucas
2614,Maya Rudolph,Darcel Wynne
2613,Kristen Wiig,Beverly Jeanne
2617,Will Forte,Drake Bell
2619,Maya Rudolph,Rocsi
2618,Jason Sudeikis,Josh Peck
2620,Kenan Thompson,Terrence Jenkins
1961,Maya Rudolph,Condoleezza Rice
2604,Bill Hader,Ryan Seacrest
2096,Amy Poehler,Paula Abdul
2603,Maya Rudolph,Melinda Doolittle
2569,Jason Sudeikis,Simon Cowell
2336,Kenan Thompson,Randy Jackson
2605,Bill Hader,Tony Blair
1422,Darrell Hammond,Dan Rather
2606,Molly Shannon,Melania Trump
2587,Andy Samberg,Sanjaya Malakar
2586,Kristen Wiig,Ashley Ferl
2091,Amy Poehler,Kelly Ripa
2598,Scarlett Johansson,Melissa Sander
2600,Fred Armisen,Thavakalai
2602,Will Forte,Ghyslian Raza
2599,Bill Hader,Rajinikanth
2601,Kenan Thompson,Sammy Stephens
2475,Kristen Wiig,Jane Pauley
2589,Shia LaBeouf,Tobey Maguire
2535,Amy Poehler,Nancy Grace
2590,Shia LaBeouf,Cole Sprouse
2592,Avril Lavigne,Elle Fanning
2591,Andy Samberg,Dylan Sprouse
2594,Andy Samberg,Howard K. Stern
2593,Darrell Hammond,Don Imus
2595,Kristen Wiig,Jessica Simpson
2585,Fred Armisen,Alberto Gonzales
2588,Jason Sudeikis,Zack Snyder
2581,Amy Poehler,Rhonda Byrne
2582,Kristen Wiig,Ros Gentle
2579,Fred Armisen,Larry Seidlin
2584,Julia Louis-Dreyfus,Robin Antin
2583,Kenan Thompson,Lil' Kim
2578,Darrell Hammond,Wolf Blitzer
2580,Andy Samberg,Prince Harry
2575,Kristen Wiig,Lynne Cheney
2576,Forest Whitaker,Greg Gumbel
2577,Jason Sudeikis,Bill Oefelein
2402,Seth Meyers,Ryan Seacrest
2570,Drew Barrymore,Abigail Breslin
2572,Bill Hader,Daniel Radcliffe
2574,Drew Barrymore,Victoria Beckham
1777,Horatio Sanz,Elton John
2573,Seth Meyers,David Beckham
1928,Maya Rudolph,Donatella Versace
2540,Bill Hader,Peter O'Toole
1851,Darrell Hammond,Chris Matthews
2567,Jeremy Piven,Jim Nantz
2568,Jason Sudeikis,Phil Simms
1641,Darrell Hammond,Rich Little
2565,Fred Armisen,Thomas Friedman
2564,Kristen Wiig,Sandra Day O'Connor
2561,Fred Armisen,Nouri al-Maliki
2562,Bill Hader,Michael Richards
2563,Maya Rudolph,Lorne Michaels
2556,Amy Poehler,Dolly Parton
2069,Maya Rudolph,Barbra Streisand
2557,Andy Samberg,James Blunt
2441,Darrell Hammond,Bill O'Reilly
2559,Jason Sudeikis,Bobby Knight
2047,Amy Poehler,Britney Spears
2473,Alec Baldwin,Saddam Hussein
1955,Darrell Hammond,Donald Rumsfeld
2545,Hugh Laurie,Derek Acorah
2546,Fred Armisen,Jon Gilbert
2547,Bill Hader,Stuart Torevell
2548,Amy Poehler,Yvette Fielding
2550,Bill Hader,Tim McCarver
2549,Jason Sudeikis,Joe Buck
2552,Andy Samberg,Ken Mehlman
2551,Jason Sudeikis,Howard Dean
2251,Will Forte,George W. Bush
2430,Darrell Hammond,Brit Hume
1738,Will Ferrell,James Lipton
2544,Andy Samberg,Aaron Carter
2435,Jason Sudeikis,Nick Carter
2534,Darrell Hammond,Dennis Hastert
2538,Fred Armisen,Lou Reed
2539,Amy Poehler,Patti Smith
1992,Maya Rudolph,Charo
2541,Fred Armisen,Fran Lebowitz
2542,Amy Poehler,Yoko Ono
2530,Dane Cook,Saddam Hussein
2526,Fred Armisen,Hugo Chavez
2528,Bill Hader,Mahmoud Ahmadinejad
2529,Darrell Hammond,Pervez Musharraf
2532,Jason Sudeikis,George Allen
2531,Andy Samberg,Dustin Diamond
2533,Amy Poehler,Farrah Fawcett
2418,Seth Meyers,Anderson Cooper
1478,Darrell Hammond,John Travolta
2520,Seth Meyers,Tom Cruise
2516,Finesse Mitchell,Gayle King
2517,Amy Poehler,Katie Holmes
2519,Kenan Thompson,Patti LaBelle
2502,Jason Sudeikis,Taylor Hicks
2216,Finesse Mitchell,Bobby Brown
2525,Kevin Spacey,Neil Young
